"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C_k1,C14,C1";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";3;"10u";;;
2;"C8,C7,C6,C5";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";4;"22u";;;
3;"C4,C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"0.1u";;;
4;"C3";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"47u";;;
5;"R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1.1k";;;
6;"R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1k";;;
7;"R2,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"1";;;
8;"C9,C11,C12,C13,C10";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";5;"100n";;;
9;"U4";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
10;"R11,R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10k";;;
11;"R9,R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"51k";;;
12;"SW5";"TerminalBlock_Altech_AK300-2_P5.00mm";1;"FW";;;
13;"J4";"PinSocket_1x07_P2.54mm_Vertical";1;"Conn_audio";;;
14;"R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"470";;;
15;"J1";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_display2";;;
16;"J6";"PinSocket_1x02_P2.54mm_Vertical";1;"Salida_amp";;;
17;"D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"Green";;;
18;"R12,R19,R8,R16,R15,R17,R18,R10,R13,R14";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";10;"5.1k";;;
19;"D2";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"Red";;;
20;"SW4";"TerminalBlock_Altech_AK300-2_P5.00mm";1;"BW";;;
21;"J2";"JST_EH_B8B-EH-A_1x08_P2.50mm_Vertical";1;"Conn_display_2";;;
22;"J3";"JST_EH_B7B-EH-A_1x07_P2.50mm_Vertical";1;"Conn_teclado";;;
23;"SW3";"SW_SPST_EVQQ2";1;"SW_Push";;;
24;"U2";"ESP32-WROOM-32";1;"ESP32-WROOM-32";;;
25;"L1";"L_6.3x6.3_H3";1;"10u";;;
26;"U3";"PinSocket_1x06_P2.54mm_Vertical";1;"FT232";;;
27;"U1";"TP5410";1;"Tp5400";;;
28;"J7";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";1;"Entrada_buzzer";;;
29;"J5";"USB_Mini-B_AdamTech_MUSB-B5-S-VT-TSMT-1_SMD_Vertical";1;"USB_B_Mini";;;
30;"D3";"SS32";1;"SS32";;;
31;"BT1";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";1;"Battery_Cell";;;
32;"L2";"L_6.3x6.3_H3";1;"33u";;;
33;"SW1";"SW_SPST_CK_RS282G05A3";1;"SW_Push";;;
